id,salesman_id,salesman_name,salesman_character,conversation
1,5,David,impatient and rude,"[{'role': 'customer', 'text': ""Hi there! I'm looking to switch to T-Mobile and wanted to know more about your plans.""}, {'role': 'salesman', 'text': ""Yeah, we've got plans. You can check them on our website. Anything else?""}, {'role': 'customer', 'text': 'Oh, okay. Could you at least tell me what the most popular plan is?'}, {'role': 'salesman', 'text': ""Fine. The Magenta plan is the most popular. It's $70 a month. Happy now?""}, {'role': 'customer', 'text': 'Thanks. And does that include unlimited data?'}, {'role': 'salesman', 'text': 'Yes, it includes unlimited data. Look, all this info is online. Why not just go there?'}, {'role': 'customer', 'text': ""I'm sorry, I'm just trying to make sure I understand everything. Can you also tell me about the family plans?""}, {'role': 'salesman', 'text': ""Seriously? We have family plans, too. They're cheaper per line. Just look it up. Are we done?""}, {'role': 'customer', 'text': ""Alright, I'll check it out online. Thanks for your time.""}, {'role': 'salesman', 'text': 'Finally. Have a good day.'}]"
2,9,Hank,distracted and uninterested,"[{'role': 'customer', 'text': ""Hello, I'm interested in learning more about your family plans. Can you help me with that?""}, {'role': 'salesman', 'text': 'Uh, yeah. We have some family plans. You can check them out on our website.'}, {'role': 'customer', 'text': 'Okay, but I was hoping you could explain the differences between the plans to me.'}, {'role': 'salesman', 'text': 'Well, there are different prices and data limits. You know, just the usual stuff.'}, {'role': 'customer', 'text': 'Can you give me specific details on the pricing and data limits?'}, {'role': 'salesman', 'text': 'Prices vary. Data limits are different too. Anything else?'}, {'role': 'customer', 'text': 'Is there a plan that offers unlimited data for a family of four?'}, {'role': 'salesman', 'text': 'Yeah, I think so. You should look at our Magenta plan.'}, {'role': 'customer', 'text': ""What's the cost of the Magenta plan for a family of four?""}, {'role': 'salesman', 'text': ""You can find that on our website. It's all listed there.""}, {'role': 'customer', 'text': 'Can you at least give me a ballpark figure?'}, {'role': 'salesman', 'text': 'Somewhere around $140, I think. But, you should really check online to be sure.'}, {'role': 'customer', 'text': ""Alright, thank you. I'll look it up myself.""}, {'role': 'salesman', 'text': 'Okay, great. Have a good day.'}]"
3,15,Nick,perfect salesperson,"[{'role': 'customer', 'text': ""I'm really frustrated with my current plan. I'm being overcharged every month!""}, {'role': 'salesman', 'text': ""I'm very sorry to hear that you're frustrated. Let me help you resolve this issue right away. Could you please provide me with your account number or phone number so I can look into the details?""}, {'role': 'customer', 'text': 'Here it is, my account number is 123456.'}, {'role': 'salesman', 'text': 'Thank you. Please give me a moment to access your account information... I can see here that you are on the Unlimited Plus plan. It looks like there have been some additional charges. Let’s go through them one by one to identify the issue.'}, {'role': 'customer', 'text': ""I don't care about the details, just fix it. I'm tired of paying so much.""}, {'role': 'salesman', 'text': ""I completely understand your frustration, and I apologize for any inconvenience caused. Let's work together to get this sorted. I can offer to switch you to a different plan that might better suit your needs and help reduce your monthly bill. Would you be open to discussing some options?""}, {'role': 'customer', 'text': 'Fine, tell me about the options.'}, {'role': 'salesman', 'text': 'Great. We have a few plans that might interest you. For example, our Essentials plan is more affordable and still offers unlimited talk, text, and data. Alternatively, we have the Magenta plan which includes additional benefits like international texting and data. Would you like more details on these plans?'}, {'role': 'customer', 'text': 'Tell me about the Essentials plan.'}, {'role': 'salesman', 'text': 'Certainly. The Essentials plan is $60 per month for a single line, and it includes unlimited talk, text, and data. There are no extra charges for going over your data limit, but data speeds may be slower during times of network congestion. How does that sound?'}, {'role': 'customer', 'text': ""It's cheaper than what I'm paying now. Let's do it.""}, {'role': 'salesman', 'text': ""Excellent choice. I'll go ahead and switch your plan to Essentials. This change will take effect from your next billing cycle. Is there anything else I can assist you with today?""}, {'role': 'customer', 'text': 'No, just make sure it’s done.'}, {'role': 'salesman', 'text': ""Absolutely. I've processed the change, and you'll see the new plan reflected on your next bill. Thank you for your patience, and I'm glad we could resolve this. Have a great day!""}]"
4,14,Mia,sarcastic and witty,"[{'role': 'customer', 'text': ""Hi, I'm looking to change my mobile plan. Can you help me with that?""}, {'role': 'salesman', 'text': 'Oh, absolutely! I live for helping people change their mobile plans. What do you have in mind?'}, {'role': 'customer', 'text': ""I need more data. My current plan just isn't cutting it anymore.""}, {'role': 'salesman', 'text': ""Data hog, huh? I get it. We've got plans with data so plentiful, you might actually get tired of the internet. Interested?""}, {'role': 'customer', 'text': 'That sounds good. What are my options?'}, {'role': 'salesman', 'text': 'We’ve got the Magenta MAX plan, which is basically the buffet of data plans. Unlimited everything. Or, if you’re feeling a bit more conservative, there’s the Magenta plan with a measly 100GB of premium data.'}, {'role': 'customer', 'text': 'Unlimited sounds tempting. How much is the Magenta MAX plan?'}, {'role': 'salesman', 'text': 'A mere $85 a month. Think of it as the price of your freedom to stream cat videos in 4K without a care in the world.'}, {'role': 'customer', 'text': 'That’s a bit more than I was hoping to spend. Do you have any discounts?'}, {'role': 'salesman', 'text': 'Ah, the eternal quest for discounts. We do have some deals if you bundle lines or switch from another carrier. Anything like that tickle your fancy?'}, {'role': 'customer', 'text': 'I might be able to switch from another carrier. What kind of deals are we talking about?'}, {'role': 'salesman', 'text': 'Switch and we’ll pay up to $650 in termination fees. Plus, you get a shiny new device. It’s like Christmas, but without the awkward family gatherings.'}, {'role': 'customer', 'text': 'That definitely makes it more appealing. What’s the catch?'}, {'role': 'salesman', 'text': 'The catch? You have to endure my sarcasm for another few minutes. Other than that, none really. Just the usual fine print stuff.'}, {'role': 'customer', 'text': 'Alright, you’ve convinced me. Let’s do it.'}, {'role': 'salesman', 'text': 'Fantastic! Let’s get you signed up before you change your mind. I promise, no more sarcasm. Well, maybe just a little.'}]"
5,5,David,impatient and rude,"[{'role': 'customer', 'text': ""Hi, I'm looking to compare some of your mobile plans. Can you help me with that?""}, {'role': 'salesman', 'text': 'Yeah, sure. What do you need to know?'}, {'role': 'customer', 'text': 'Can you tell me the difference between the Magenta and Magenta Plus plans?'}, {'role': 'salesman', 'text': ""Magenta is the basic one, Magenta Plus has more features. It's all on the website.""}, {'role': 'customer', 'text': 'Could you be more specific? I want to know if the extra cost is worth it.'}, {'role': 'salesman', 'text': 'Look, Magenta Plus gives you more data, HD streaming, and a few other perks. If you need that, then get it. If not, just stick with Magenta.'}, {'role': 'customer', 'text': 'I see. What about international calling? Are there any differences in these plans?'}, {'role': 'salesman', 'text': ""Magenta Plus has better international benefits. Again, it's all on the website.""}, {'role': 'customer', 'text': 'Alright, what are the prices for these plans?'}, {'role': 'salesman', 'text': ""Magenta starts at $70, Magenta Plus is $85. It's not that hard to find this info, you know.""}, {'role': 'customer', 'text': 'Okay, thanks for the information.'}, {'role': 'salesman', 'text': 'Yeah, whatever. Have a good day.'}]"
6,16,Olivia,charming and persuasive,"[{'role': 'customer', 'text': ""Hi, I'm looking to switch my mobile plan to T-Mobile. Can you help me with the options available?""}, {'role': 'salesman', 'text': ""Hello! Absolutely, I'd be delighted to help you with that. We have several plans that might fit your needs. Are you looking for something with unlimited data, or perhaps a more budget-friendly option?""}, {'role': 'customer', 'text': ""I'm interested in an unlimited data plan. What are my options?""}, {'role': 'salesman', 'text': 'Great choice! Our Magenta plan offers unlimited data, talk, and text, along with 5G access at no extra charge. For a little extra, you can upgrade to Magenta Plus, which includes HD streaming and 20GB of 4G LTE mobile hotspot data.'}, {'role': 'customer', 'text': 'That sounds good. How much does the Magenta Plus plan cost?'}, {'role': 'salesman', 'text': 'The Magenta Plus plan is $85 per month for a single line. However, if you add more lines, the price per line decreases. For example, two lines would be $140 per month.'}, {'role': 'customer', 'text': 'That seems reasonable. Are there any additional perks with these plans?'}, {'role': 'salesman', 'text': 'Absolutely! Both Magenta and Magenta Plus plans come with Netflix included for family plans, free in-flight texting and Wi-Fi, and international texting and data in over 210 countries.'}, {'role': 'customer', 'text': ""That's impressive. What about the coverage? I travel a lot for work.""}, {'role': 'salesman', 'text': ""T-Mobile has you covered with our extensive 5G network, which is the largest in the nation. Plus, with our international perks, you'll stay connected almost anywhere you go.""}, {'role': 'customer', 'text': 'Thank you for the information. I think I’d like to go ahead with the Magenta Plus plan.'}, {'role': 'salesman', 'text': ""Fantastic choice! Let's get you set up. I'll just need a few details to get started. Shall we proceed?""}]"
7,20,Sam,funny and entertaining,"[{'role': 'customer', 'text': 'Hi, I’m looking to change my mobile plan. Can you help me with that?'}, {'role': 'salesman', 'text': 'Absolutely! You’ve come to the right place. I’m like a mobile plan wizard, but without the hat. What kind of plan are you looking for?'}, {'role': 'customer', 'text': 'I need something with more data. I keep running out every month.'}, {'role': 'salesman', 'text': ""Ah, the classic data dilemma! We've all been there. How does our Unlimited Plan sound? It's like an all-you-can-eat buffet, but for data!""}, {'role': 'customer', 'text': 'Sounds good, but how much does it cost?'}, {'role': 'salesman', 'text': ""For you, my friend, it's just $70 a month. And no worries, there are no hidden fees. We like to keep things as transparent as a freshly cleaned window.""}, {'role': 'customer', 'text': 'That’s actually reasonable. What about the coverage? I travel a lot for work.'}, {'role': 'salesman', 'text': ""Traveling, eh? You must have some great stories! Our coverage is nationwide and pretty robust. We’ve got you covered from New York to LA and everywhere in between. Even if you're visiting Aunt Sally in the middle of nowhere, you'll still have signal!""}, {'role': 'customer', 'text': 'Okay, that sounds promising. How do I switch to this plan?'}, {'role': 'salesman', 'text': 'Easy peasy! Just a couple of clicks and a sprinkle of magic. We can switch you over right now. Shall we proceed?'}, {'role': 'customer', 'text': 'Yes, let’s do it.'}, {'role': 'salesman', 'text': ""Fantastic! Hold on to your hat—oh wait, that's me! Just a moment, and we'll have you swimming in unlimited data. Done and done! Welcome to the Unlimited Plan club!""}, {'role': 'customer', 'text': 'Thank you, you’ve been very helpful!'}, {'role': 'salesman', 'text': 'Anytime! Helping customers is my superpower. Have a data-tastic day!'}]"
8,18,Quinn,"extremly rude, hates customers","[{'role': 'customer', 'text': ""Hi, I'm looking to compare some of your mobile plans. Can you help me with that?""}, {'role': 'salesman', 'text': 'Yeah, whatever. What do you want to know?'}, {'role': 'customer', 'text': ""I'm interested in a plan with a decent amount of data. What options do you have?""}, {'role': 'salesman', 'text': 'Just look it up online. All the plans are listed there. Can’t you do that yourself?'}, {'role': 'customer', 'text': 'I wanted to get some advice on which plan might be best for my usage.'}, {'role': 'salesman', 'text': 'I don’t know your life. Just pick the one with the data you need. It’s not rocket science.'}, {'role': 'customer', 'text': 'Okay, what about pricing? Are there any promotions or discounts available?'}, {'role': 'salesman', 'text': 'Like I said, check the website. All the prices are there. Do you need me to hold your hand through everything?'}, {'role': 'customer', 'text': ""This isn't very helpful. Can I speak to someone else?""}, {'role': 'salesman', 'text': 'Whatever, go find someone else then. Not my problem.'}]"
9,3,Bob,formal and professional,"[{'role': 'customer', 'text': 'Good morning, I am interested in learning more about your family plans. Can you provide some details?'}, {'role': 'salesman', 'text': ""Good morning! Certainly, I'd be happy to help. Our family plans offer a variety of options depending on your needs. We have plans that include unlimited talk, text, and data. The pricing starts at $120 per month for four lines. Each additional line can be added at a discounted rate.""}, {'role': 'customer', 'text': 'That sounds interesting. Are there any data caps or throttling after a certain amount of data usage?'}, {'role': 'salesman', 'text': 'Our Magenta and Magenta Max family plans offer unlimited high-speed data with no data caps. However, with the Magenta plan, data may be slowed during times of network congestion after 50GB of usage per month. The Magenta Max plan does not have this restriction and provides unlimited premium data.'}, {'role': 'customer', 'text': 'I see. What about international calling and data usage? Are those included in these plans?'}, {'role': 'salesman', 'text': 'Yes, both Magenta and Magenta Max plans include international benefits. You get unlimited texting and data in over 210 countries and destinations. Additionally, you can make unlimited calls to Mexico and Canada. With the Magenta Max plan, you also get 5GB of high-speed data in those countries each month.'}, {'role': 'customer', 'text': 'That seems comprehensive. Can you tell me about any additional perks or benefits that come with these plans?'}, {'role': 'salesman', 'text': 'Certainly. Both plans include a Netflix subscription for families with two or more lines. You also get free in-flight texting and an hour of Wi-Fi on Gogo-enabled flights. Additionally, you have access to T-Mobile Tuesdays, which offers weekly discounts and promotions.'}, {'role': 'customer', 'text': 'Thank you for the detailed information. I will discuss it with my family and get back to you soon.'}, {'role': 'salesman', 'text': ""You're welcome! Take your time, and feel free to reach out if you have any more questions or need further assistance. Have a great day!""}]"
10,13,Leo,helpful and supportive,"[{'role': 'customer', 'text': ""Hi, I'm looking to switch my phone plan to something more affordable. Can you help me with that?""}, {'role': 'salesman', 'text': ""Of course! I'd be happy to help. We have a variety of plans to fit different needs and budgets. Can you tell me more about your current usage? For example, how much data do you typically use each month?""}, {'role': 'customer', 'text': ""I usually use around 5GB of data and make a lot of domestic calls. I don't travel internationally often.""}, {'role': 'salesman', 'text': 'Got it. Based on your usage, I would recommend our Essentials plan. It includes unlimited talk and text, and 5GB of high-speed data for $60 per month. Would that work for you?'}, {'role': 'customer', 'text': ""That sounds good, but is there anything cheaper? I'm on a tight budget.""}, {'role': 'salesman', 'text': 'Absolutely, we also have a Simply Prepaid plan that offers 5GB of high-speed data along with unlimited talk and text for $40 per month. Would that be a better fit for you?'}, {'role': 'customer', 'text': 'Yes, that seems perfect. What do I need to do to switch to this plan?'}, {'role': 'salesman', 'text': 'Great choice! To switch to the Simply Prepaid plan, I just need to verify some information and update your account. It will only take a few minutes. Can you please provide your account number and a valid ID?'}, {'role': 'customer', 'text': ""Sure, my account number is 123456789, and here's my ID.""}, {'role': 'salesman', 'text': ""Thank you. I'll get everything set up for you right away. Is there anything else I can assist you with today?""}, {'role': 'customer', 'text': ""No, that's all for now. Thanks for your help!""}, {'role': 'salesman', 'text': ""You're welcome! If you have any more questions in the future, feel free to reach out. Have a great day!""}]"
